Josh Redman,Joshua Redman
Sammy Davis,Sammy Davis Jr
Talib Kiwbe,Talib Kibwe
Pharoh Sanders,Pharoah Sanders
B. B. King,B.B. King
Billy Eckestine,Billy Eckstine
Frogman,Clarence Henry
Louie Jordan,Louis Jordan
Rodney Kendricks,Rodney Kendrick
Diana Washington,Dinah Washington
Frec Tate,Frank Tate
Gerald Herd,Gerald Ford
Gi Gi Grice,Gigi Gryce
Jackie Byard,Jaki Byard
Todd Dameron,Tadd Dameron
Keeter Betts,Keter Betts
Marsalis,Wynton Marsalis
Bill Basie,Count Basie
Walter Diet,Walter Dyett
Charlie Mingus,Charles Mingus
Freddie Mendelsohn,Freddy Mendelsohn
Frankie Vallee,Frankie Valli
Todd Barkin,Todd Barkan
Jimmy Lunceford,Jimmie Lunceford
Jimmy Lunseford,Jimmie Lunceford
Jimmy Lunsford,Jimmie Lunceford
Dave Wilburn,Dave Wilborn
Dave Wilburn,Dave Wilborn
Sugar Child Robinson,Sugar Chile Robinson
Neil Tate,Neal Tate
Bud DeFranco,Buddy DeFranco
Ester Williams,Esther Williams
Willie John,Little Willie John
Sid Nathan,Syd Nathan
Al Rayman,Albert Raymond Streit
Russ Garcia,Russell Garcia
Scat Davis,Johnnie Davis
Ted Fioreto,Ted Fiorito
William Alexander,Willard Alexander
Rob Pronkt,Rob Pronk
Chic Corea,Chick Corea
Wardell Grey,Wardell Gray
Al Winn,Albert Wynn
Albert Winn,Albert Wynn
Bobby Cruise,Bobby Cruz
Freddy Webster,Freddie Webster
John Faddis,Jon Faddis
Morty Feld,Morey Feld
Ricardo Ray,Richie Ray
Sammy Remington,Sammy Rimington
Charles Parker,Charlie Parker
Jelly Roll,Jelly Roll Morton
Willie,Willie Humphrey
Mary Lou,Mary Lou Williams
Louie Armstrong,Louis Armstrong
Norman Grants,Norman Granz
Jimmie Ryans,Jimmy Ryan's
Jimmy Ryan,Jimmy Ryan's
Tricky Sam,Tricky Sam Nanton
Bennie Carter,Benny Carter
Billy Holliday,Billie Holiday
John Patatucci,John Patitucci
Jimmy Guifre,Jimmy Giuffre
Dizzy Gillepsie,Dizzy Gillespie
Dizzie Gillepsie,Dizzy Gillespie
John Griffin,Johnny Griffin
Abdullah Buhaina,Art Blakey
Buddy DeFrigli,Buddy DeFranco
Rudy Van,Rudy Van Gelder
Ron Aldrich,Ronnie Aldrich
Bill Higgins,Billy Higgins
Alvin Jones,Elvin Jones
Calvin Masses,Cal Massey
George WEIN,George Wein
Ben Reilly,Ben Riley
Bo Jangles,Bill Bo Jangles Robinson
Charles Mengis,Charles Mingus
Charlie Mengis,Charles Mingus
Dave Bluebeck,Dave Brubeck
Dave Ruebeck,Dave Brubeck
Dizzy Gelepsy,Dizzy Gillespie
Dizzy Gelipse,Dizzy Gillespie
Don Bias,Don Byas
Don Redmand,Don Redman
Duke Unintelligible,Duke Ellington
Earl Garner,Errol Garner
Gene Cruppa,Gene Krupa
Hot Lip,Hot Lips Page
James P,James P. Johnson
Jimmy Lunfield,Jimmie Lunceford
John Coltrain,John Coltrane
Lenny Testrano,Lennie Tristano
Lenny Trestano,Lennie Tristano
Marilyn Williams,Mary Lou Williams
Mary Lou Williams Cubano,Mary Lou Williams
Mercy Ellington,Mercer Ellington
Norman Grant,Norman Granz
Oscar Pediford,Oscar Pettiford
Oscar Unintelligible,Oscar Pettiford
Roy Haines,Roy Haynes
Rudolph Antoine,Rudy Van Gelder
San Kentin,Stan Kenton
Slam Unintelligible,Slam Stewart
Slim Gaylord,Slim Gaillard
Tito Unintelligible,Tito Puente
Tommy Williams,Tony Williams
Walter Paige,Walter Page
Zoot Simms,Zoot Sims
Randy Western,Randy Weston
Rudy Vangelder,Rudy Van Gelder
Shelly Mann,Shelly Manne
Sarah Vaughn,Sarah Vaughan
Walter Bishop,Walter Bishop, Jr.
Willie Lyon Smith,Willie "The Lion" Smith
Willie Lyon,Willie "The Lion" Smith
Yeah Jean Ambers,Jean Ambers
Lou Williams,Mary Lou Williams
Lee Conitz,Lee Konitz
Kenny Dorum,Kenny Dorham
Walter Bishop,Walter Bishop, Jr.
Miles Davisfrom,Miles Davis
Carter Ron,Ron Carter
Johnny Arnold Griffin,Johnny Griffin
Johnny Arnold,Johnny Griffin
Carmel Jones,Carmell Jones
Gene Hammis,Gene Ammons
Gene Allis,Gene Ammons
Arnet Carlson,Arnett Cobb
Yitzhak Pearlman,Itzhak Perlman
Shahib Shahaab,Sahib Shihab
Oscar Peterford,Oscar Peterson
Oren Keaton,Orrin Keepnews
Mack Schroats,Max Roach
Matthew G,Matthew Gee
Matt Green,Matthew Gee
Bill Eckstine,Billy Eckstine
Jackie Mac,Jackie McLean
Roy Owen Haynes,Roy Haynes
Roy Owen,Roy Haynes
Lennie White,Lenny White
Lyne Carrington,Terri Lyne Carrington
Philly Joe,Philly Joe Jones
Bob Shad,Bob Shad
Mitch Miller,Mitch Miller
Terri Lyne,Terri Lyne Carrington
Johnny Griffin,Johnny Griffin
Ken Kimery,Ken Kimery
Ken Kimery Date,Ken Kimery
Norman Granz Jazz,Norman Granz
Walker Red,Johnny Walker
Arnie Durdigan,Ahmet Ertegun 
Arnie Durdigan,Ahmet Ertegun 
Bill Raleigh,Bill Grauer
Bruce Manly,Bill Kenny
Etta Moton,Etta Moten Barnett
Gladys Hampton,Gladys Riddle Hampton
Itzak Pearlman,Itzhak Perlman
Jackie McClain,Jackie McLean
Douglas Haynes,Douglas Haynes
Paul Gonsalves,Paul Gonsalves
William F,William F. Ludwig
Shahib Shihab,Sahib Shihab
Nat Cole,Nat King Cole
Corporal Roy Haynes,Roy Haynes
Jimmie,Jimmie Lunceford
Shorts,Shorts McConnell
McConnell,Shorts McConnell
Papa Jo,Jo Jones
Gershwin,George Gershwin
Shorts McConnell,Shorty McConnell
Walter Bishop,Walter Bishop, Jr.
Walter Bishop,Walter Bishop, Jr.
Billy Estein,Billy Eckstine
Billy Exstine,Billy Eckstine
Billy Taylor Quartet,Billy Taylor
Billy Taylor Trio,Billy Taylor
Billy Taylor Uptown,Billy Taylor
David Frost,David Frost
Earl Hines Band,Earl Hines
Jimmy Lunfield Orchestra,Jimmie Lunceford
